month,rank,char,opp,score
202502,36,MAI,DHALSIM,5.086
202502,36,MAI,E. HONDA,5.106
202502,36,MAI,KIMBERLY,5.113
202502,36,MAI,JP,4.985
202502,36,MAI,RASHID,5.169
202502,36,MAI,DEE JAY,5.209
202502,36,MAI,A.K.I.,5.066
202502,36,MAI,M. BISON,5.049
202502,36,MAI,BLANKA,5.399
202502,36,MAI,LUKE,5.250
202502,36,MAI,GUILE,5.187
202502,36,MAI,LILY,4.984
202502,36,MAI,MANON,5.203
202502,36,MAI,TERRY,5.255
202502,36,MAI,CHUN-LI,5.334
202502,36,MAI,MARISA,5.193
202502,36,MAI,CAMMY,5.173
202502,36,MAI,KEN,5.286
202502,36,MAI,JURI,5.274
202502,36,MAI,JAMIE,5.087
202502,36,MAI,ZANGIEF,5.068
202502,36,MAI,ED,5.319
202502,36,MAI,RYU,5.210
202502,36,MAI,AKUMA,5.309
202502,36,DHALSIM,MAI,4.917
202502,36,DHALSIM,E. HONDA,3.802
202502,36,DHALSIM,KIMBERLY,4.864
202502,36,DHALSIM,JP,5.927
202502,36,DHALSIM,RASHID,4.516
202502,36,DHALSIM,DEE JAY,4.278
202502,36,DHALSIM,A.K.I.,5.053
202502,36,DHALSIM,M. BISON,4.127
202502,36,DHALSIM,BLANKA,4.730
202502,36,DHALSIM,LUKE,5.316
202502,36,DHALSIM,GUILE,4.930
202502,36,DHALSIM,LILY,6.035
202502,36,DHALSIM,MANON,5.473
202502,36,DHALSIM,TERRY,4.763
202502,36,DHALSIM,CHUN-LI,5.029
202502,36,DHALSIM,MARISA,5.712
202502,36,DHALSIM,CAMMY,4.857
202502,36,DHALSIM,KEN,5.214
202502,36,DHALSIM,JURI,5.059
202502,36,DHALSIM,JAMIE,5.422
202502,36,DHALSIM,ZANGIEF,6.463
202502,36,DHALSIM,ED,5.722
202502,36,DHALSIM,RYU,5.276
202502,36,DHALSIM,AKUMA,5.283
202502,36,E. HONDA,MAI,4.906
202502,36,E. HONDA,DHALSIM,6.220
202502,36,E. HONDA,KIMBERLY,5.288
202502,36,E. HONDA,JP,5.307
202502,36,E. HONDA,RASHID,5.233
202502,36,E. HONDA,DEE JAY,4.996
202502,36,E. HONDA,A.K.I.,5.173
202502,36,E. HONDA,M. BISON,5.508
202502,36,E. HONDA,BLANKA,6.094
202502,36,E. HONDA,LUKE,5.204
202502,36,E. HONDA,GUILE,5.238
202502,36,E. HONDA,LILY,5.499
202502,36,E. HONDA,MANON,4.915
202502,36,E. HONDA,TERRY,5.206
202502,36,E. HONDA,CHUN-LI,5.037
202502,36,E. HONDA,MARISA,4.852
202502,36,E. HONDA,CAMMY,5.634
202502,36,E. HONDA,KEN,4.905
202502,36,E. HONDA,JURI,5.257
202502,36,E. HONDA,JAMIE,5.267
202502,36,E. HONDA,ZANGIEF,4.806
202502,36,E. HONDA,ED,5.210
202502,36,E. HONDA,RYU,4.947
202502,36,E. HONDA,AKUMA,5.173
202502,36,KIMBERLY,MAI,4.869
202502,36,KIMBERLY,DHALSIM,5.156
202502,36,KIMBERLY,E. HONDA,4.764
202502,36,KIMBERLY,JP,5.546
202502,36,KIMBERLY,RASHID,5.012
202502,36,KIMBERLY,DEE JAY,4.909
202502,36,KIMBERLY,A.K.I.,5.323
202502,36,KIMBERLY,M. BISON,5.201
202502,36,KIMBERLY,BLANKA,4.558
202502,36,KIMBERLY,LUKE,5.254
202502,36,KIMBERLY,GUILE,5.147
202502,36,KIMBERLY,LILY,5.433
202502,36,KIMBERLY,MANON,5.027
202502,36,KIMBERLY,TERRY,4.905
202502,36,KIMBERLY,CHUN-LI,5.039
202502,36,KIMBERLY,MARISA,5.317
202502,36,KIMBERLY,CAMMY,5.117
202502,36,KIMBERLY,KEN,4.972
202502,36,KIMBERLY,JURI,5.084
202502,36,KIMBERLY,JAMIE,5.086
202502,36,KIMBERLY,ZANGIEF,4.986
202502,36,KIMBERLY,ED,5.549
202502,36,KIMBERLY,RYU,5.298
202502,36,KIMBERLY,AKUMA,5.291
202502,36,JP,MAI,5.009
202502,36,JP,DHALSIM,4.112
202502,36,JP,E. HONDA,4.715
202502,36,JP,KIMBERLY,4.478
202502,36,JP,RASHID,4.977
202502,36,JP,DEE JAY,5.019
202502,36,JP,A.K.I.,5.028
202502,36,JP,M. BISON,4.413
202502,36,JP,BLANKA,5.013
202502,36,JP,LUKE,5.087
202502,36,JP,GUILE,5.951
202502,36,JP,LILY,5.761
