month,rank,char,play_rate
202502,36,RYU,7.464
202502,36,LUKE,4.844
202502,36,KIMBERLY,1.866
202502,36,CHUN-LI,2.101
202502,36,MANON,2.828
202502,36,ZANGIEF,4.808
202502,36,JP,3.129
202502,36,DHALSIM,1.037
202502,36,CAMMY,4.255
202502,36,KEN,7.646
202502,36,DEE JAY,3.261
202502,36,LILY,1.114
202502,36,A.K.I.,2.756
202502,36,RASHID,1.85
202502,36,BLANKA,1.503
202502,36,JURI,5.323
202502,36,MARISA,3.167
202502,36,GUILE,2.065
202502,36,ED,3.67
202502,36,E. HONDA,1.546
202502,36,JAMIE,4.686
202502,36,AKUMA,10.309
202502,36,M. BISON,4.157
202502,36,TERRY,3.145
202502,36,MAI,11.47
202502,40,RYU,5.17
202502,40,LUKE,4.853
202502,40,KIMBERLY,3.083
202502,40,CHUN-LI,2.219
202502,40,MANON,2.967
202502,40,ZANGIEF,4.291
202502,40,JP,4.477
202502,40,DHALSIM,1.845
202502,40,CAMMY,4.174
202502,40,KEN,6.668
202502,40,DEE JAY,3.977
202502,40,LILY,1.508
202502,40,A.K.I.,3.357
202502,40,RASHID,2.465
202502,40,BLANKA,1.968
202502,40,JURI,4.986
202502,40,MARISA,3.295
202502,40,GUILE,2.402
202502,40,ED,3.103
202502,40,E. HONDA,2.637
202502,40,JAMIE,4.091
202502,40,AKUMA,7.402
202502,40,M. BISON,4.574
202502,40,TERRY,2.78
202502,40,MAI,11.708
202502,41,RYU,4.202
202502,41,LUKE,4.678
202502,41,KIMBERLY,3.818
202502,41,CHUN-LI,2.516
202502,41,MANON,2.659
202502,41,ZANGIEF,4.328
202502,41,JP,5.057
202502,41,DHALSIM,2.179
202502,41,CAMMY,4.707
202502,41,KEN,6.306
202502,41,DEE JAY,4.624
202502,41,LILY,1.628
202502,41,A.K.I.,3.292
202502,41,RASHID,2.754
202502,41,BLANKA,2.739
202502,41,JURI,5.118
202502,41,MARISA,3.587
202502,41,GUILE,2.164
202502,41,ED,3.156
202502,41,E. HONDA,2.947
202502,41,JAMIE,3.825
202502,41,AKUMA,6.913
202502,41,M. BISON,4.679
202502,41,TERRY,2.649
202502,41,MAI,9.476
202502,42,RYU,3.588
202502,42,LUKE,4.458
202502,42,KIMBERLY,3.715
202502,42,CHUN-LI,2.654
202502,42,MANON,3.421
202502,42,ZANGIEF,4.489
202502,42,JP,5.514
202502,42,DHALSIM,2.623
202502,42,CAMMY,4.803
202502,42,KEN,6.15
202502,42,DEE JAY,5.047
202502,42,LILY,1.87
202502,42,A.K.I.,3.626
202502,42,RASHID,3.043
202502,42,BLANKA,3.346
202502,42,JURI,5.176
202502,42,MARISA,3.236
202502,42,GUILE,2.264
202502,42,ED,3.4
202502,42,E. HONDA,3.435
202502,42,JAMIE,3.588
202502,42,AKUMA,6.251
202502,42,M. BISON,5.42
202502,42,TERRY,2.614
202502,42,MAI,6.269
202503,36,RYU,8.703
202503,36,LUKE,4.507
202503,36,KIMBERLY,1.757
202503,36,CHUN-LI,2.066
202503,36,MANON,2.497
202503,36,ZANGIEF,4.666
202503,36,JP,4.048
202503,36,DHALSIM,0.836
202503,36,CAMMY,4.625
202503,36,KEN,8.011
202503,36,DEE JAY,3.272
202503,36,LILY,0.996
202503,36,A.K.I.,2.421
202503,36,RASHID,1.899
202503,36,BLANKA,1.352
202503,36,JURI,5.526
202503,36,MARISA,2.997
202503,36,GUILE,1.927
202503,36,ED,3.757
202503,36,E. HONDA,1.28
202503,36,JAMIE,4.264
202503,36,AKUMA,12.458
202503,36,M. BISON,4.067
202503,36,TERRY,3.283
202503,36,MAI,8.785
202503,40,RYU,6.518
202503,40,LUKE,4.605
202503,40,KIMBERLY,2.981
202503,40,CHUN-LI,2.159
202503,40,MANON,2.859
202503,40,ZANGIEF,3.937
202503,40,JP,5.595
202503,40,DHALSIM,1.603
202503,40,CAMMY,4.448
202503,40,KEN,7.327
202503,40,DEE JAY,4.073
202503,40,LILY,1.365
202503,40,A.K.I.,3.131
202503,40,RASHID,2.553
202503,40,BLANKA,1.681
202503,40,JURI,5.439
202503,40,MARISA,3.083
202503,40,GUILE,2.292
202503,40,ED,3.372
202503,40,E. HONDA,2.382
202503,40,JAMIE,3.96
202503,40,AKUMA,9.041
202503,40,M. BISON,4.454
202503,40,TERRY,2.92
202503,40,MAI,8.219
202503,41,RYU,5.362
202503,41,LUKE,4.677
202503,41,KIMBERLY,3.716
202503,41,CHUN-LI,2.052
202503,41,MANON,2.86
202503,41,ZANGIEF,4.15
202503,41,JP,5.714
202503,41,DHALSIM,1.97
202503,41,CAMMY,5.016
202503,41,KEN,6.649
202503,41,DEE JAY,4.174
202503,41,LILY,1.475
